"ID","age","real_age","year","season","n","n_nights_network","degree","norm_degree","strength","avg_strength","longevity_5x","longevity_2y","longevity_10x"
"anderson",23,0,2021,"Post-breeding",98,123,58,0.597938144329897,8.50929744405113,0.146712024897433,NA,NA,NA
"anderson",24,0,2022,"Breeding",104,151,69,0.669902912621359,12.6939269307013,0.183969955517411,NA,NA,NA
"anderson",24,0,2022,"Post-breeding",101,121,75,0.75,8.84223589917215,0.117896478655629,NA,NA,NA
"antonios",0,1,2021,"Transient",133,32,77,0.583333333333333,13.9542923531966,0.18122457601554,0,0,0
"armstrong",4,1,2017,"Transient",33,47,17,0.53125,2.21298678365457,0.130175693156151,NA,NA,NA
"armstrong",5,1,2018,"Breeding",48,36,13,0.276595744680851,1.27141053391053,0.0978008103008103,NA,NA,NA
"armstrong",5,1,2018,"Transient",38,72,17,0.459459459459459,2.86293613249496,0.168408007793821,NA,NA,NA
"armstrong",5,1,2018,"Post-breeding",41,72,17,0.425,2.19017801452485,0.128834000854403,NA,NA,NA
"armstrong",6,1,2019,"Transient",47,70,22,0.478260869565217,3.27798112702646,0.148999142137566,NA,NA,NA
"armstrong",6,1,2019,"Post-breeding",43,58,21,0.5,2.08573193218076,0.0993205681990836,NA,NA,NA
"armstrong",7,1,2020,"Breeding",58,47,21,0.368421052631579,2.87432696268229,0.136872712508681,NA,NA,NA
"armstrong",7,1,2020,"Transient",90,89,60,0.674157303370786,7.23548703710843,0.120591450618474,NA,NA,NA
"armstrong",7,1,2020,"Post-breeding",77,120,37,0.486842105263158,5.30072948827206,0.143262959142488,NA,NA,NA
"armstrong",8,1,2021,"Breeding",76,149,47,0.626666666666667,2.95426686915817,0.0628567418969823,NA,NA,NA
"armstrong",8,1,2021,"Transient",133,72,82,0.621212121212121,7.67475157988402,0.0935945314620003,NA,NA,NA
"armstrong",8,1,2021,"Post-breeding",98,123,58,0.597938144329897,8.20825162639919,0.141521579765503,NA,NA,NA
"armstrong",9,1,2022,"Breeding",104,138,69,0.669902912621359,7.05581064497281,0.102258125289461,NA,NA,NA
"armstrong",9,1,2022,"Post-breeding",101,121,76,0.76,12.4391956189401,0.163673626565001,NA,NA,NA
"arthur",2,1,2022,"Post-breeding",101,122,76,0.76,17.5071213092892,0.230356859332752,NA,NA,NA
"assegais",1,1,2021,"Transient",133,54,93,0.704545454545455,16.5477033101697,0.177932293657738,NA,NA,NA
"augrabie",10,1,2021,"Transient",133,91,97,0.734848484848485,21.0124138380028,0.216622823072194,NA,NA,NA
"boker",5,1,2021,"Transient",133,77,86,0.651515151515151,17.8265789230637,0.207285801430973,NA,NA,NA
"boker",6,1,2022,"Breeding",104,151,67,0.650485436893204,6.85733561174888,0.10234829271267,NA,NA,NA
"boker",6,1,2022,"Post-breeding",101,122,76,0.76,13.2654126261417,0.174544902975548,NA,NA,NA
"caine",4,1,2020,"Transient",90,84,57,0.640449438202247,10.1922576213219,0.178811537216173,NA,NA,NA
"caine",5,1,2021,"Breeding",76,149,49,0.653333333333333,6.73536785972997,0.137456486933265,NA,NA,NA
"caine",5,1,2021,"Transient",133,82,97,0.734848484848485,23.8210652825728,0.245577992603844,NA,NA,NA
"caine",5,1,2021,"Post-breeding",98,123,59,0.608247422680412,12.6892685243921,0.215072347871052,NA,NA,NA
"caine",6,1,2022,"Breeding",104,151,69,0.669902912621359,9.56765288744036,0.13866163604986,NA,NA,NA
"caine",6,1,2022,"Post-breeding",101,122,76,0.76,11.9196803265937,0.156837899034128,NA,NA,NA
"cale",2,1,2020,"Transient",90,50,55,0.617977528089888,11.2532362821008,0.204604296038197,NA,NA,NA
"cale",3,1,2021,"Transient",133,63,95,0.71969696969697,17.7093157892938,0.186413850413619,NA,NA,NA
"cale",3,1,2021,"Post-breeding",98,123,53,0.54639175257732,10.1992592144011,0.192438853101908,NA,NA,NA
"cale",4,1,2022,"Post-breeding",101,117,76,0.76,13.7619989028368,0.181078932932063,NA,NA,NA
"cantata",6,1,2021,"Transient",133,74,89,0.674242424242424,17.0356243378711,0.191411509414282,NA,NA,NA
"cantata",7,1,2022,"Breeding",104,150,72,0.699029126213592,8.070113293264,0.112084906850889,NA,NA,NA
"cantata",7,1,2022,"Post-breeding",101,121,76,0.76,10.69970792242,0.140785630558158,NA,NA,NA
"chegovar",2,1,2020,"Transient",90,87,41,0.460674157303371,6.75557878422517,0.164770214249395,NA,NA,NA
"chegovar",2,1,2020,"Post-breeding",77,120,24,0.315789473684211,2.53739501427842,0.105724792261601,NA,NA,NA
"chegovar",3,1,2021,"Breeding",76,151,51,0.68,6.18991291187364,0.121370841409287,NA,NA,NA
"chegovar",3,1,2021,"Transient",133,47,91,0.689393939393939,12.335425335882,0.135554124570132,NA,NA,NA
"chegovar",3,1,2021,"Post-breeding",98,123,55,0.56701030927835,9.7043590444973,0.176442891718133,NA,NA,NA
"chegovar",4,1,2022,"Breeding",104,98,68,0.660194174757282,13.384692790293,0.196833717504309,NA,NA,NA
"chegovar",4,1,2022,"Post-breeding",101,106,76,0.76,14.7647790513909,0.194273408570933,NA,NA,NA
