"ID","age","seq_id","seq_length","R","O","with_routine","year","age_scale","seq_length_scale","real_age"
"skolio",1,"1_1373",53,0.259338758737097,0,1,2022,-1.16578493877767,0.851809208249265,1
"spiegel",6,"6_1374",24,0.443850505811804,1,1,2021,-0.191967783683613,0.385724924490233,1
"steve",2,"2_1375",115,0.386492974885905,1,1,2020,-0.971021507758856,1.84826526318237,1
"talkitna",7,"7_1376",34,0.310383453152267,1,1,2021,0.00279564733519832,0.546443643027831,1
"talkitna",8,"8_1376",101,0.452510478451769,1,1,2022,0.197559078354009,1.62325905722973,1
"taranaki",7,"7_1398",25,0.311876781338397,1,1,2013,0.00279564733519832,0.401796796343993,1
"taranaki",8,"8_1398",24,0.645059850355515,2,1,2014,0.197559078354009,0.385724924490233,1
"taranaki",8,"8_1399",47,0.303727416570884,1,1,2014,0.197559078354009,0.755377977126707,1
"tay",2,"2_1403",85,0.383340953661903,1,1,2021,-0.971021507758856,1.36610910756958,1
"tennessee",8,"8_1407",18,0.369213036593308,1,1,2014,0.197559078354009,0.289293693367675,1
"tennessee",9,"9_1408",73,0.482864757138868,1,1,2015,0.39232250937282,1.17324664532446,1
"tennessee",12,"12_1409",113,0.573717228246749,2,1,2018,0.976612802429253,1.81612151947485,1
"tennessee",13,"13_1409",89,0.619312790238938,2,1,2019,1.17137623344806,1.43039659498462,1
"tennessee",14,"14_1412",68,0.240886111594551,3,1,2020,1.36613966446687,1.09288728605566,1
"tennessee",14,"14_1413",42,0.513441374549947,1,1,2020,1.36613966446687,0.675018617857908,1
"tennessee",15,"15_1413",90,0.581169619780832,1,1,2021,1.56090309548569,1.44646846683838,1
"tess",7,"7_1416",91,0.520732054467744,1,1,2022,0.00279564733519832,1.46254033869213,1
"tikishla",18,"18_1420",121,0.469007481751096,1,1,2022,2.14519338854212,1.94469649430493,0
"whosit",4,"4_1424",26,0.596533345132702,1,1,2017,-0.581494645721234,0.417868668197753,1
"whosit",4,"4_1426",28,0.605844694973127,1,1,2017,-0.581494645721234,0.450012411905272,1
"whosit",5,"5_1428",51,0.490405879401911,1,1,2018,-0.386731214702424,0.819665464541746,1
"xena",8,"8_1455",34,0.388432208481344,1,1,2020,0.197559078354009,0.546443643027831,1
"xena",9,"9_1455",125,0.48032402304453,1,1,2021,0.39232250937282,2.00898398171997,1
"yariv",5,"5_1466",24,0.35294388682154,1,1,2009,-0.386731214702424,0.385724924490233,1
"yohai",13,"13_1472",31,0.362859449155386,1,1,2020,1.17137623344806,0.498228027466551,1
"yohai",14,"14_1472",71,0.558946313788675,1,1,2021,1.36613966446687,1.14110290161694,1
"yomtov",3,"3_1474",60,0.465449886601011,1,1,2022,-0.776258076740045,0.964312311225583,1
"yonat",13,"13_1489",130,0.417821456034828,1,1,2021,1.17137623344806,2.08934334098876,1
"yonat",13,"13_1492",21,0.391368876157578,1,1,2021,1.17137623344806,0.337509308928954,1
"yoyo",2,"2_1495",115,0.313004072158522,1,1,2021,-0.971021507758856,1.84826526318237,1
"yoyo",3,"3_1497",83,0.440209579136427,1,1,2022,-0.776258076740045,1.33396536386206,1
"yungala",1,"1_1502",71,0.263453360589214,1,1,2014,-1.16578493877767,1.14110290161694,1
"yungala",2,"2_1507",72,0.29524842379392,0,1,2015,-0.971021507758856,1.1571747734707,1
"yungala",3,"3_1515",41,0.328544029659442,1,1,2016,-0.776258076740045,0.658946746004149,1
"yungala",8,"8_1598",26,0.400960895702843,1,1,2021,0.197559078354009,0.417868668197753,1
"yungfrau",9,"9_1599",25,0.454492358464663,1,1,2009,0.39232250937282,0.401796796343993,1
"yungfrau",9,"9_1601",60,0.27170760991634,2,1,2009,0.39232250937282,0.964312311225583,1
"E06",2,"2_406",11,0,NA,0,2013,-0.971021507758856,0.176790590391357,1
"Jill",2,"2_742",10,0,NA,0,2020,-0.971021507758856,0.160718718537597,1
"abel",5,"5_2",27,0,NA,0,2021,-0.386731214702424,0.433940540051513,1
"addo",2,"2_4",19,0,NA,0,2021,-0.971021507758856,0.305365565221435,1
"alex",4,"4_6",20,0,NA,0,2021,-0.581494645721234,0.321437437075194,1
"alex",5,"5_6",44,0,NA,0,2022,-0.386731214702424,0.707162361565428,1
"aliwal",0,"0_8",24,0,NA,0,2020,-1.36054836979648,0.385724924490233,1
"aliwal",1,"1_10",21,0,NA,0,2021,-1.16578493877767,0.337509308928954,1
"andromeda",6,"6_16",11,0,NA,0,2010,-0.191967783683613,0.176790590391357,1
"andromeda",7,"7_16",17,0,NA,0,2011,0.00279564733519832,0.273221821513915,1
"arbel",4,"4_19",17,0,NA,0,2011,-0.581494645721234,0.273221821513915,1
"arbel",5,"5_28",11,0,NA,0,2012,-0.386731214702424,0.176790590391357,1
"arbel",5,"5_30",19,0,NA,0,2012,-0.386731214702424,0.305365565221435,1
"armstrong",2,"2_37",38,0,NA,0,2015,-0.971021507758856,0.61073113044287,1
"armstrong",4,"4_59",13,0,NA,0,2017,-0.581494645721234,0.208934334098876,1
"armstrong",5,"5_62",13,0,NA,0,2018,-0.386731214702424,0.208934334098876,1
"armstrong",5,"5_64",10,0,NA,0,2018,-0.386731214702424,0.160718718537597,1
"armstrong",5,"5_74",33,0,NA,0,2018,-0.386731214702424,0.530371771174071,1
"armstrong",6,"6_86",12,0,NA,0,2019,-0.191967783683613,0.192862462245117,1
"armstrong",7,"7_103",41,0,NA,0,2020,0.00279564733519832,0.658946746004149,1
"armstrong",7,"7_97",15,0,NA,0,2020,0.00279564733519832,0.241078077806396,1
"armstrong",8,"8_104",26,0,NA,0,2021,0.197559078354009,0.417868668197753,1
"assegais",1,"1_116",14,0,NA,0,2021,-1.16578493877767,0.225006205952636,1
"assegais",1,"1_117",18,0,NA,0,2021,-1.16578493877767,0.289293693367675,1
"baker",4,"4_123",39,0,NA,0,2008,-0.581494645721234,0.626803002296629,1
"baker",5,"5_129",14,0,NA,0,2009,-0.386731214702424,0.225006205952636,1
"baker",5,"5_134",19,0,NA,0,2009,-0.386731214702424,0.305365565221435,1
"baker",6,"6_134",14,0,NA,0,2010,-0.191967783683613,0.225006205952636,1
"caine",5,"5_144",16,0,NA,0,2021,-0.386731214702424,0.257149949660156,1
"calamity",1,"1_146",23,0,NA,0,2013,-1.16578493877767,0.369653052636474,1
"cale",2,"2_152",31,0,NA,0,2020,-0.971021507758856,0.498228027466551,1
"cantata",6,"6_162",16,0,NA,0,2021,-0.191967783683613,0.257149949660156,1
"cantata",6,"6_163",13,0,NA,0,2021,-0.191967783683613,0.208934334098876,1
"chegovar",4,"4_173",13,0,NA,0,2022,-0.581494645721234,0.208934334098876,1
"chegovar",4,"4_176",12,0,NA,0,2022,-0.581494645721234,0.192862462245117,1
"chegovar",4,"4_178",15,0,NA,0,2022,-0.581494645721234,0.241078077806396,1
"chegovar",4,"4_179",21,0,NA,0,2022,-0.581494645721234,0.337509308928954,1
"circus",2,"2_181",71,0,NA,0,2021,-0.971021507758856,1.14110290161694,1
"circus",2,"2_182",39,0,NA,0,2021,-0.971021507758856,0.626803002296629,1
"circus",3,"3_193",11,0,NA,0,2022,-0.776258076740045,0.176790590391357,1
"circus",3,"3_194",13,0,NA,0,2022,-0.776258076740045,0.208934334098876,1
"circus",3,"3_200",19,0,NA,0,2022,-0.776258076740045,0.305365565221435,1
"circus",3,"3_203",10,0,NA,0,2022,-0.776258076740045,0.160718718537597,1
"cordellia",8,"8_208",10,0,NA,0,2013,0.197559078354009,0.160718718537597,1
"cordellia",9,"9_208",11,0,NA,0,2014,0.39232250937282,0.176790590391357,1
"cordellia",10,"10_236",24,0,NA,0,2015,0.587085940391631,0.385724924490233,1
"cordellia",11,"11_245",20,0,NA,0,2016,0.781849371410442,0.321437437075194,1
"cordellia",12,"12_247",30,0,NA,0,2017,0.976612802429253,0.482156155612792,1
"cordellia",14,"14_251",12,0,NA,0,2019,1.36613966446687,0.192862462245117,1
"cordellia",14,"14_252",15,0,NA,0,2019,1.36613966446687,0.241078077806396,1
"cordellia",14,"14_255",16,0,NA,0,2019,1.36613966446687,0.257149949660156,1
"cordellia",15,"15_255",161,0,NA,0,2020,1.56090309548569,2.58757136845532,1
"dana",0,"0_257",14,0,NA,0,2013,-1.36054836979648,0.225006205952636,1
"dani",2,"2_261",17,0,NA,0,2019,-0.971021507758856,0.273221821513915,1
"dani",3,"3_266",15,0,NA,0,2020,-0.776258076740045,0.241078077806396,1
"dingle",1,"1_269",19,0,NA,0,2019,-1.16578493877767,0.305365565221435,1
"dingle",2,"2_272",29,0,NA,0,2020,-0.971021507758856,0.466084283759032,1
"dingle",3,"3_276",11,0,NA,0,2021,-0.776258076740045,0.176790590391357,1
"doolin",1,"1_281",11,0,NA,0,2020,-1.16578493877767,0.176790590391357,1
"doolin",2,"2_282",42,0,NA,0,2021,-0.971021507758856,0.675018617857908,1
"dor",6,"6_284",33,0,NA,0,2009,-0.191967783683613,0.530371771174071,1
"dor",7,"7_286",48,0,NA,0,2010,0.00279564733519832,0.771449848980467,1
"dor",10,"10_305",58,0,NA,0,2013,0.587085940391631,0.932168567518064,1
"dor",10,"10_309",13,0,NA,0,2013,0.587085940391631,0.208934334098876,1
"dor",11,"11_310",58,0,NA,0,2014,0.781849371410442,0.932168567518064,1
"dor",12,"12_317",19,0,NA,0,2015,0.976612802429253,0.305365565221435,1
"dor",12,"12_319",18,0,NA,0,2015,0.976612802429253,0.289293693367675,1
"dor",12,"12_321",22,0,NA,0,2015,0.976612802429253,0.353581180782714,1
